route,label,input_tokens,cache_hit_tokens,prefill_seconds,ttft_seconds,answer_pass
raw,20000-cold,19984,0.0,13.223516039957758,13.249516725540161,True
raw,20000-warm,19984,17600.0,1.3899310479755513,1.4376749992370605,True
raw,20000-suffix-warm,20003,17600.0,1.469435548002366,1.492755651473999,True
raw,20000-suffix-cold,20003,0.0,10.033048573997803,10.062034845352173,True
raw,20000-original-after-suffix,19984,17600.0,1.3901382390176877,1.4105782508850098,True
raw,64000-cold,63989,0.0,32.41191378602525,32.47348356246948,True
raw,64000-warm,63989,60800.0,1.7211948719923384,1.7817785739898682,True
raw,64000-suffix-warm,64008,60800.0,1.8400076419929974,1.8994150161743164,True
raw,64000-suffix-cold,64008,0.0,32.463838004972786,32.5228636264801,True
raw,64000-original-after-suffix,63989,60800.0,1.7282539419829845,1.788323163986206,True
raw,250000-cold,249986,0.0,157.90323896199698,158.143714427948,True
raw,250000-warm,249986,248000.0,1.4497358949738555,1.6816129684448242,True
raw,250000-suffix-warm,250005,248000.0,1.45882352697663,1.6996262073516846,True
raw,250000-suffix-cold,250005,0.0,135.40607834397815,135.64366579055786,True
raw,250000-original-after-suffix,249986,248000.0,1.4438617799896747,1.6828770637512207,True
raw,churn-a1,19984,0.0,10.034122159995604,10.053673028945923,True
raw,churn-b,21391,0.0,10.895804507017601,10.92043924331665,True
raw,churn-a2,19984,17600.0,1.394989942025859,1.4194037914276123,True
raw,tool-cold,13060,0.0,8.993828437989578,9.069944381713867,True
raw,tool-warm,13060,11200.0,1.1872556080343202,1.212350606918335,True
raw,tool-followup,13721,11200.0,1.5176005709799938,1.5855157375335693,True
managed,20000-cold,19984,0.0,13.493159441975877,13.518900632858276,True
managed,20000-warm,19984,17600.0,1.3978905969997868,1.418461561203003,True
managed,20000-suffix-warm,20003,17600.0,1.4737348149647005,1.5247838497161865,True
managed,20000-suffix-cold,20003,0.0,10.066159876005258,10.091503143310547,True
managed,20000-original-after-suffix,19984,17600.0,1.3928883949993178,1.414924144744873,True
managed,churn-a1,19984,0.0,10.06191225699149,10.081859827041626,True
managed,churn-b,21391,0.0,10.828036209975835,10.854227066040039,True
managed,churn-a2,19984,17600.0,1.4094177820370533,1.4351122379302979,True
managed,tool-cold,13060,0.0,8.831092412990984,8.893052577972412,True
managed,tool-warm,13060,11200.0,1.1661859590094537,1.1833124160766602,True
managed,tool-followup,13599,11200.0,1.482339559996035,1.506155252456665,True
